GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
dataframe,com,Main,213,0,0,0,38,0,2,0,2,0
dataframe,com.Series,IntSeries,0,105,0,2,0,17,0,12,0,11
dataframe,com.Series,StringSeries,0,60,0,2,0,13,0,8,0,7
dataframe,com.Series,DoubleSeries,0,105,0,2,0,17,0,12,0,11
dataframe,com.Series,Series,0,3,0,0,0,1,0,1,0,1
dataframe,com.Dataframe,Condition,0,12,0,0,0,5,0,1,0,1
dataframe,com.Dataframe,DataFrameBuilder,84,0,6,0,16,0,8,0,5,0
dataframe,com.Dataframe,DataFrame,179,412,47,36,28,68,39,33,4,20
dataframe,com.Dataframe,DataFramePrinter,130,0,10,0,19,0,8,0,3,0
dataframe,com.Dataframe,CSVLoader,22,282,7,36,5,57,8,24,1,9
dataframe,com.Dataframe,DataType,0,21,0,0,0,2,0,1,0,1
